,Country,Infection Rate
0,Aruba,3.6846936290579397
1,Afghanistan,0.10083656018118009
2,Angola,0.01492411611808192
3,Anguilla,0.01999733368884149
4,Albania,0.469733824449232
5,Andorra,2.544489743091956
6,United Arab Emirates,0.9412157243387528
7,Argentina,1.6297894380707296
8,Armenia,1.6840047056695489
9,Antigua and Barbuda,0.10313699861122458
10,Australia,0.10612990703760539
11,Austria,0.49528113341623736
12,Azerbaijan,0.3956830807240235
13,Burundi,0.004255397521828045
14,Belgium,1.0097055847234284
15,Benin,0.019301837683423136
16,Bonaire Sint Eustatius and Saba,0.40425613058235765
17,Burkina Faso,0.009720963381915507
18,Bangladesh,0.21983384320530241
19,Bulgaria,0.2957064494286132
20,Bahrain,4.138616805645096
21,Bahamas,0.9925034583774106
22,Bosnia and Herzegovina,0.8297328560129115
23,Belarus,0.8282076564019785
24,Belize,0.4886562832445972
25,Bermuda,0.290655661362067
26,Bolivia,1.153436695822481
27,Brazil,2.2476172767303844
28,Barbados,0.06611662276290926
29,Brunei,0.03337272534018464
30,Bhutan,0.036417266709175077
31,Botswana,0.13488545154946047
32,Central African Republic,0.09990136164003045
33,Canada,0.41587713177071467
34,Switzerland,0.6095127479918814
35,Chile,2.4131353659085857
36,China,0.006289620281086248
37,Cote d'Ivoire,0.07456514878247346
38,Cameroon,0.07849810426211783
39,Democratic Republic of Congo,0.011868951942736405
40,Congo,0.09222390637923399
41,Colombia,1.6194876060877366
42,Comoros,0.05508311340336594
43,Cape Verde,1.0611739821722772
44,Costa Rica,1.4645137505756645
45,Cuba,0.048831884121435735
46,Curacao,0.22547227300426567
47,Cayman Islands,0.3210590383444918
48,Cyprus,0.19557049385831013
49,Czech Republic,0.6335149316713764
50,Germany,0.345196206743428
51,Djibouti,0.5481770279817247
52,Dominica,0.03333750052089845
53,Denmark,0.47415465238355764
54,Dominican Republic,1.031535677306879
55,Algeria,0.11714202556139885
56,Ecuador,0.7694186836070387
57,Egypt,0.10072761161268513
58,Eritrea,0.010574022812255827
59,Western Sahara,0.12823732275291716
60,Spain,1.62159238339316
61,Estonia,0.24989841987306818
62,Ethiopia,0.06487619649084876
63,Finland,0.17853281830982917
64,Fiji,0.0035696596775704895
65,Falkland Islands,0.37324145851277635
66,France,0.843665344680703
67,Faeroe Islands,0.9475084416248849
68,Gabon,0.393219656669638
69,United Kingdom,0.657213525191437
70,Georgia,0.14704794851065697
71,Guernsey,0.38179323510111557
72,Ghana,0.14958994070243423
73,Gibraltar,1.1605473271793654
74,Guinea,0.08097288070960082
75,Gambia,0.1480967151412029
76,Guinea-Bissau,0.11808955090401516
77,Equatorial Guinea,0.35852129566602636
78,Greece,0.173874149769511
79,Grenada,0.02132973097876803
80,Greenland,0.024660043683505953
81,Guatemala,0.5077595367202166
82,Guam,1.4474206525538709
83,Guyana,0.36182918255337493
84,Hong Kong,0.0
85,Honduras,0.7683090537252963
86,Croatia,0.39899952938517047
87,Haiti,0.07664963565551619
88,Hungary,0.2739134710440098
89,Indonesia,0.10336365062964707
90,Isle of Man,0.3998494684354125
91,India,0.45114081286053304
92,Ireland,0.7238047096315846
93,Iran,0.5400893572583405
94,Iraq,0.8907700249285829
95,Iceland,0.7897435897435898
96,Israel,2.7372754631975056
97,Italy,0.5177001925909352
98,Jamaica,0.21552357335518063
99,Jersey,0.40465801945128765
100,Jordan,0.09848928859155122
101,Japan,0.06563276779936389
102,Kazakhstan,0.7493699507586713
103,Kenya,0.0713726467464986
104,Kyrgyzstan,0.7153224054905811
105,Cambodia,0.001656800529171323
106,Saint Kitts and Nevis,0.03571965709129193
107,South Korea,0.046445054527200096
108,Kuwait,2.448576452331929
109,Laos,0.00031612704238686364
110,Lebanon,0.56226395301579
111,Liberia,0.02655369253513026
112,Libya,0.4950164357856105
113,Saint Lucia,0.014703559895223522
114,Liechtenstein,0.31465505939114247
115,Sri Lanka,0.015756599301834144
116,Lesotho,0.07356744211231918
117,Lithuania,0.16816717977615178
118,Luxembourg,1.34685674850154
119,Latvia,0.09166568585973295
120,Morocco,0.32831527499530083
121,Monaco,0.5453062888594434
122,Moldova,1.2897738526605227
123,Madagascar,0.05914191890157599
124,Maldives,1.8858849081107483
125,Mexico,0.572517830283202
126,Macedonia,0.8537088769211569
127,Mali,0.015258630829722864
128,Malta,0.6873684997248262
129,Myanmar,0.022835962216655334
130,Montenegro,1.6837509672611939
131,Mongolia,0.009547654693358616
132,Northern Mariana Islands,0.121618569418142
133,Mozambique,0.02737443903756259
134,Mauritania,0.16074293604263537
135,Montserrat,0.26005201040208037
136,Mauritius,0.029958317836521944
137,Malawi,0.030172574896281775
138,Malaysia,0.034403388395438946
139,Namibia,0.4384245681478648
140,New Caledonia,0.00945739095102823
141,Niger,0.0049407939211379885
142,Nigeria,0.02845013946787426
143,Nicaragua,0.07677497987034296
144,Netherlands,0.6852691583999484
145,Norway,0.254332863207361
146,Nepal,0.2617239335207892
147,New Zealand,0.030691175644146605
148,Oman,1.9305325516554779
149,Pakistan,0.1413643464154489
150,Panama,2.592329413771494
151,Peru,2.4620034923128054
152,Philippines,0.28225947936178947
153,Papua New Guinea,0.0059684630436456715
154,Poland,0.23770163796726285
155,Puerto Rico,1.6941527663203813
156,Portugal,0.7327561731449183
157,Paraguay,0.5622268676051836
158,Palestine,0.9823743054869472
159,French Polynesia,0.593085182126278
160,Qatar,4.357181037534796
161,Romania,0.651918458783132
162,Russia,0.800225662944859
163,Rwanda,0.037337260385467835
164,Saudi Arabia,0.9599249632337596
165,Sudan,0.03102902353970827
166,Senegal,0.08925622598756684
167,Singapore,0.9869848656736879
168,Sierra Leone,0.02785513574364249
169,El Salvador,0.4468100818953961
170,San Marino,2.1981259944604865
171,Somalia,0.022575665760347228
172,Serbia,0.49200569732574867
173,South Sudan,0.024120648266542814
174,Sao Tome and Principe,0.41567614675968806
175,Suriname,0.8289666129136736
176,Slovakia,0.1753594511582534
177,Slovenia,0.26393359667367666
178,Sweden,0.9155711254377792
179,Swaziland,0.47079550822125144
180,Sint Maarten (Dutch part),1.5367753369712234
181,Seychelles,0.14541387024608501
182,Syria,0.02370196730328467
183,Turks and Caicos Islands,1.7717857327341289
184,Chad,0.007262938273121668
185,Togo,0.021247202320837103
186,Thailand,0.005106018801323977
187,Tajikistan,0.10197489064907239
188,Timor,0.0021237187528916706
189,Trinidad and Tobago,0.3189016578170206
190,Tunisia,0.14726764161427333
191,Turkey,0.3761862815010747
192,Taiwan,0.002158142737629255
193,Tanzania,0.000852107987092757
194,Uganda,0.017526945191403773
195,Ukraine,0.4685899513005502
196,Uruguay,0.05852503665371516
197,United States,2.172508608367715
198,Uzbekistan,0.1688686962601047
199,Vatican,1.4833127317676145
200,Saint Vincent and the Grenadines,0.057685201041938944
201,Venezuela,0.2615105818716826
202,British Virgin Islands,0.2348116545953633
203,United States Virgin Islands,1.2621740421171581
204,Vietnam,0.0011239119846238156
205,Kosovo,0.8057848460295928
206,Yemen,0.0068229135094626265
207,South Africa,1.1340193148761168
208,Zambia,0.08004261977128319
209,Zimbabwe,0.052728510339854325
